"filename", "language", "Elixir", "Markdown", "comment", "blank", "total"
"/Users/bokner/projects/cpsolver/.formatter.exs", "Elixir", 3, 0, 1, 1, 5
"/Users/bokner/projects/cpsolver/README.md", "Markdown", 0, 8, 0, 3, 11
"/Users/bokner/projects/cpsolver/TODO.md", "Markdown", 0, 18, 0, 3, 21
"/Users/bokner/projects/cpsolver/config/config.exs", "Elixir", 2, 0, 0, 2, 4
"/Users/bokner/projects/cpsolver/lib/application.ex", "Elixir", 5, 0, 0, 1, 6
"/Users/bokner/projects/cpsolver/lib/examples/graph_coloring.ex", "Elixir", 35, 0, 0, 11, 46
"/Users/bokner/projects/cpsolver/lib/examples/queens.ex", "Elixir", 78, 0, 8, 14, 100
"/Users/bokner/projects/cpsolver/lib/examples/sudoku.ex", "Elixir", 137, 0, 35, 35, 207
"/Users/bokner/projects/cpsolver/lib/examples/utils.ex", "Elixir", 47, 0, 0, 10, 57
"/Users/bokner/projects/cpsolver/lib/solver/common/common.ex", "Elixir", 8, 0, 0, 2, 10
"/Users/bokner/projects/cpsolver/lib/solver/constraints/all_different.ex", "Elixir", 13, 0, 0, 2, 15
"/Users/bokner/projects/cpsolver/lib/solver/constraints/constraint.ex", "Elixir", 29, 0, 0, 7, 36
"/Users/bokner/projects/cpsolver/lib/solver/constraints/not_equal.ex", "Elixir", 8, 0, 0, 2, 10
"/Users/bokner/projects/cpsolver/lib/solver/core/solution.ex", "Elixir", 39, 0, 1, 7, 47
"/Users/bokner/projects/cpsolver/lib/solver/core/solver.ex", "Elixir", 130, 0, 5, 32, 167
"/Users/bokner/projects/cpsolver/lib/solver/core/space.ex", "Elixir", 335, 0, 5, 68, 408
"/Users/bokner/projects/cpsolver/lib/solver/domain/default_domain.ex", "Elixir", 77, 0, 0, 17, 94
"/Users/bokner/projects/cpsolver/lib/solver/model/model.ex", "Elixir", 4, 0, 0, 1, 5
"/Users/bokner/projects/cpsolver/lib/solver/propagators/constraint_graph.ex", "Elixir", 70, 0, 1, 12, 83
"/Users/bokner/projects/cpsolver/lib/solver/propagators/not_equal.ex", "Elixir", 26, 0, 0, 7, 33
"/Users/bokner/projects/cpsolver/lib/solver/propagators/propagator.ex", "Elixir", 80, 0, 3, 21, 104
"/Users/bokner/projects/cpsolver/lib/solver/propagators/propagator_thread.ex", "Elixir", 145, 0, 4, 37, 186
"/Users/bokner/projects/cpsolver/lib/solver/propagators/propagator_variable.ex", "Elixir", 63, 0, 0, 18, 81
"/Users/bokner/projects/cpsolver/lib/solver/search/first_fail.ex", "Elixir", 29, 0, 2, 6, 37
"/Users/bokner/projects/cpsolver/lib/solver/search/partition.ex", "Elixir", 10, 0, 0, 3, 13
"/Users/bokner/projects/cpsolver/lib/solver/search/strategy.ex", "Elixir", 14, 0, 0, 4, 18
"/Users/bokner/projects/cpsolver/lib/solver/store/ets_store.ex", "Elixir", 117, 0, 0, 28, 145
"/Users/bokner/projects/cpsolver/lib/solver/store/store.ex", "Elixir", 154, 0, 6, 42, 202
"/Users/bokner/projects/cpsolver/lib/solver/variables/int_variable.ex", "Elixir", 14, 0, 0, 3, 17
"/Users/bokner/projects/cpsolver/lib/solver/variables/variable.ex", "Elixir", 79, 0, 0, 25, 104
"/Users/bokner/projects/cpsolver/lib/utils/utils.ex", "Elixir", 21, 0, 3, 2, 26
"/Users/bokner/projects/cpsolver/mix.exs", "Elixir", 41, 0, 4, 6, 51
"/Users/bokner/projects/cpsolver/mix.lock", "Elixir", 14, 0, 0, 1, 15
"/Users/bokner/projects/cpsolver/scripts/2_2_2_script.exs", "Elixir", 14, 0, 0, 3, 17
"/Users/bokner/projects/cpsolver/scripts/2_vars_1_propagator.exs", "Elixir", 9, 0, 0, 4, 13
"/Users/bokner/projects/cpsolver/scripts/gc_debug_script.exs", "Elixir", 23, 0, 4, 7, 34
"/Users/bokner/projects/cpsolver/scripts/gc_script.exs", "Elixir", 15, 0, 0, 6, 21
"/Users/bokner/projects/cpsolver/scripts/queens_debug_script.exs", "Elixir", 35, 0, 8, 14, 57
"/Users/bokner/projects/cpsolver/test/constraints/all_different_test.exs", "Elixir", 36, 0, 0, 9, 45
"/Users/bokner/projects/cpsolver/test/domain/domain_test.exs", "Elixir", 60, 0, 1, 21, 82
"/Users/bokner/projects/cpsolver/test/examples/graph_coloring_test.exs", "Elixir", 52, 0, 0, 18, 70
"/Users/bokner/projects/cpsolver/test/examples/queens_test.exs", "Elixir", 42, 0, 1, 15, 58
"/Users/bokner/projects/cpsolver/test/examples/sudoku_test.exs", "Elixir", 32, 0, 0, 9, 41
"/Users/bokner/projects/cpsolver/test/propagators/constraint_graph_test.exs", "Elixir", 35, 0, 4, 7, 46
"/Users/bokner/projects/cpsolver/test/propagators/not_equal_test.exs", "Elixir", 81, 0, 11, 18, 110
"/Users/bokner/projects/cpsolver/test/propagators/propagator_thread_test.exs", "Elixir", 113, 0, 15, 38, 166
"/Users/bokner/projects/cpsolver/test/search/first_fail_test.exs", "Elixir", 40, 0, 1, 9, 50
"/Users/bokner/projects/cpsolver/test/solver/cpsolver_test.exs", "Elixir", 31, 0, 7, 10, 48
"/Users/bokner/projects/cpsolver/test/space/space_test.exs", "Elixir", 113, 0, 8, 36, 157
"/Users/bokner/projects/cpsolver/test/store/store_test.exs", "Elixir", 101, 0, 14, 32, 147
"/Users/bokner/projects/cpsolver/test/test_helper.exs", "Elixir", 7, 0, 0, 2, 9
"Total", "-", 2666, 26, 152, 691, 3535